cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
7755,Vicálvaro,vicálvaro,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),18.054187192118228,28.0,9,True,75.0,139.0,True,cluster_1,0.8417254032056298
7756,Vicálvaro,vicálvaro,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),18.166666666666668,30.0,3,True,75.0,139.0,True,cluster_1,0.4186032634680056
7757,Vicálvaro,vicálvaro,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),16.933035714285715,30.0,0,False,75.0,139.0,True,cluster_1,0.541408512457302
7758,Vicálvaro,vicálvaro,Green urban areas,Green urban areas,9.725,12.0,0,False,75.0,139.0,True,cluster_0,0.33402667775763145
7759,Vicálvaro,vicálvaro,Fast transit roads and associated land,Other,,,0,False,75.0,139.0,False,,
7760,Moratalaz,moratalaz,Green urban areas,Green urban areas,,,0,False,70.0,27.0,False,,
7761,Moratalaz,moratalaz,Fast transit roads and associated land,Other,,,0,False,70.0,27.0,False,,
7762,Ciudad Lineal,ciudadlineal,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),19.417910447761194,26.0,0,False,64.0,38.0,True,cluster_1,0.6592109203941982
7763,Ciudad Lineal,ciudadlineal,Green urban areas,Green urban areas,19.008928571428573,35.0,10,True,64.0,38.0,True,cluster_2,0.9791152930320043
7764,San Blas - Canillejas,sanblascanillejas,Discontinuous medium density urban fabric (S.L. : 30% - 50%),Other,16.995121951219513,47.0,15,True,,13.0,True,cluster_3,0.7011521659681387
7765,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",16.980582524271846,42.0,4,True,,13.0,True,cluster_1,0.5494067199842027
7766,San Blas - Canillejas,sanblascanillejas,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),17.970491803278687,42.0,5,True,,13.0,True,cluster_2,0.5231922224313665
7767,San Blas - Canillejas,sanblascanillejas,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),8.904320987654321,36.0,0,False,,13.0,True,cluster_1,0.6722238668738634
7768,San Blas - Canillejas,sanblascanillejas,Green urban areas,Green urban areas,9.114942528735632,19.0,7,True,,13.0,True,cluster_1,0.7831571290273716
7769,San Blas - Canillejas,sanblascanillejas,Other roads and associated land,Other roads and associated land,16.5,28.0,4,True,,13.0,True,cluster_1,0.35446948096162967
7770,San Blas - Canillejas,sanblascanillejas,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),18.83882783882784,32.0,2,False,,13.0,True,cluster_1,0.4932978415231217
7771,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",16.4006734006734,30.0,8,True,,13.0,True,cluster_1,0.6817217669574186
7772,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",15.35827664399093,36.0,3,True,,13.0,True,cluster_1,0.3503659778971048
7773,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",18.29581151832461,34.0,4,True,,13.0,True,cluster_1,0.4534958320843975
7774,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",14.82716049382716,32.0,8,True,,13.0,True,cluster_1,0.6633686915384346
7775,San Blas - Canillejas,sanblascanillejas,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),13.738853503184714,31.0,3,True,,13.0,True,cluster_1,0.2828919048041987
7776,San Blas - Canillejas,sanblascanillejas,Sports and leisure facilities,Other,15.47887323943662,33.0,0,False,,13.0,True,cluster_1,0.5170130908705775
7777,San Blas - Canillejas,sanblascanillejas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",,,2,False,,13.0,False,,
7778,Hortaleza,hortaleza,Green urban areas,Green urban areas,13.793103448275861,29.0,0,False,79.0,29.0,True,cluster_1,0.4998164021167374
7779,Hortaleza,hortaleza,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),19.39877300613497,33.0,1,False,79.0,29.0,True,cluster_1,0.5790140080983587
7780,Hortaleza,hortaleza,Green urban areas,Green urban areas,22.5,31.0,3,True,79.0,29.0,True,cluster_2,0.5951682933129153
7781,Hortaleza,hortaleza,Discontinuous medium density urban fabric (S.L. : 30% - 50%),Other,16.129533678756477,27.0,4,True,79.0,29.0,True,cluster_1,0.3532963405606044
7782,Hortaleza,hortaleza,Green urban areas,Green urban areas,16.35433070866142,34.0,0,False,79.0,29.0,True,cluster_1,0.5444915590127164
7783,Hortaleza,hortaleza,Green urban areas,Green urban areas,18.025,27.0,0,False,79.0,29.0,True,cluster_1,0.5945517750282157
7784,Barajas,barajas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",19.127450980392158,30.0,0,False,80.0,380.0,True,cluster_1,0.6265045958149208
7785,Barajas,barajas,Green urban areas,Green urban areas,22.81159420289855,32.0,4,True,80.0,380.0,True,cluster_2,0.559615294240255
7786,Barajas,barajas,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",,,0,False,80.0,380.0,False,,
7787,Barajas,barajas,Green urban areas,Green urban areas,,,0,False,80.0,380.0,False,,
7788,Barajas,barajas,Other roads and associated land,Other roads and associated land,,,0,False,80.0,380.0,False,,
7789,Barajas,barajas,Land without current use,Land without current use,,,0,False,80.0,380.0,False,,
7790,Barajas,barajas,Construction sites,Other,,,0,False,80.0,380.0,False,,
7791,Barajas,barajas,Construction sites,Other,,,0,False,80.0,380.0,False,,
7792,Barajas,barajas,Other roads and associated land,Other roads and associated land,,,2,False,80.0,380.0,False,,
7793,Hortaleza,hortaleza,Land without current use,Land without current use,7.25,8.0,0,False,79.0,29.0,True,cluster_0,0.37060624576784207
7794,Hortaleza,hortaleza,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",7.0,7.0,0,False,79.0,29.0,True,cluster_0,0.34694111702255875
7795,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7796,Hortaleza,hortaleza,Green urban areas,Green urban areas,,,0,False,79.0,29.0,False,,
7797,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,,,0,False,79.0,29.0,False,,
7798,Hortaleza,hortaleza,Other roads and associated land,Other roads and associated land,,,0,False,79.0,29.0,False,,
